"Timestamp","TZ","Pressure (bar)"
2019/04/04 11:31:28.005,n,7.379578
2019/04/04 11:31:32.009,n,7.393697
2019/04/04 11:31:36.000,n,7.394508
2019/04/04 11:31:40.002,n,7.220406
2019/04/04 11:31:44.007,n,7.090115
2019/04/04 11:31:48.000,n,7.116201
2019/04/04 11:31:52.000,n,7.160671
2019/04/04 11:31:56.004,n,7.212135
2019/04/04 11:32:00.010,n,7.249131
2019/04/04 11:32:04.000,n,7.268298
2019/04/04 11:32:08.001,n,7.26952
2019/04/04 11:32:12.006,n,7.264423
2019/04/04 11:32:16.010,n,7.29604
2019/04/04 11:32:20.000,n,7.342795
2019/04/04 11:32:24.004,n,7.381628
2019/04/04 11:32:28.008,n,7.400034
2019/04/04 11:32:32.000,n,7.402485
2019/04/04 11:32:36.001,n,7.360776
2019/04/04 11:32:40.004,n,7.100914
2019/04/04 11:32:44.009,n,7.112329
2019/04/04 11:32:48.000,n,7.152914
2019/04/04 11:32:52.002,n,7.203963
2019/04/04 11:32:56.006,n,7.245671
2019/04/04 11:33:00.011,n,7.26809
2019/04/04 11:33:04.000,n,7.272785
2019/04/04 11:33:08.004,n,7.264423
2019/04/04 11:33:12.008,n,7.291143
2019/04/04 11:33:16.000,n,7.335443
2019/04/04 11:33:20.001,n,7.378152
2019/04/04 11:33:24.005,n,7.400239
2019/04/04 11:33:28.011,n,7.408011
2019/04/04 11:33:32.001,n,7.397983
2019/04/04 11:33:36.003,n,7.11845
2019/04/04 11:33:40.007,n,7.070762
2019/04/04 11:33:44.000,n,7.032496
2019/04/04 11:33:48.000,n,6.996704
2019/04/04 11:33:52.005,n,6.961954
2019/04/04 11:33:56.010,n,6.953019
2019/04/04 11:34:00.000,n,6.990803
2019/04/04 11:34:04.003,n,7.043691
2019/04/04 11:34:08.006,n,7.103976
2019/04/04 11:34:12.011,n,7.162308
2019/04/04 11:34:16.000,n,7.204171
2019/04/04 11:34:20.004,n,7.228959
2019/04/04 11:34:24.008,n,7.241594
2019/04/04 11:34:28.000,n,7.252798
2019/04/04 11:34:32.000,n,7.026188
2019/04/04 11:34:36.005,n,7.043691
2019/04/04 11:34:40.010,n,7.099694
2019/04/04 11:34:44.000,n,7.14088
2019/04/04 11:34:48.003,n,7.167204
2019/04/04 11:34:52.008,n,7.177003
2019/04/04 11:34:56.012,n,7.195789
2019/04/04 11:35:00.002,n,7.240567
2019/04/04 11:35:04.005,n,7.291342
2019/04/04 11:35:08.009,n,7.324614
2019/04/04 11:35:12.000,n,7.34808
2019/04/04 11:35:16.002,n,7.351761
2019/04/04 11:35:20.006,n,7.344398
2019/04/04 11:35:24.011,n,7.327037
2019/04/04 11:35:28.000,n,7.16249
2019/04/04 11:35:32.004,n,7.078903
2019/04/04 11:35:36.008,n,7.128632
2019/04/04 11:35:40.012,n,7.178411
2019/04/04 11:35:44.000,n,7.212732
2019/04/04 11:35:48.005,n,7.22976
2019/04/04 11:35:52.009,n,7.231186
2019/04/04 11:35:56.000,n,7.246462
2019/04/04 11:36:00.002,n,7.288259
2019/04/04 11:36:04.007,n,7.337045
2019/04/04 11:36:08.012,n,7.367691
2019/04/04 11:36:12.000,n,7.383435
2019/04/04 11:36:16.005,n,7.385681
2019/04/04 11:36:20.009,n,7.373418
2019/04/04 11:36:24.013,n,7.33807
2019/04/04 11:36:28.004,n,7.072995
2019/04/04 11:36:32.006,n,7.092139
2019/04/04 11:36:36.010,n,7.135355
2019/04/04 11:36:40.000,n,7.188829
2019/04/04 11:36:44.004,n,7.229551
2019/04/04 11:36:48.008,n,7.253599
2019/04/04 11:36:52.012,n,7.261138
